net.sales	cost.of.goods.and.services	cost.of.labor	depreciation	financial.expenses	interest	EBIT	EBITDA	net.income	assets	equity	debt	cash	lt.assets	st.assets	total.oper.liabilities	st.oper.liabilities	lt.liabilities	st.liabilities	inventories	FFO	OCF	public	activity	size	credit.score	Cluster
2248927.0	1846246.0	424577.0	621631.0	194048.0	194048.0	-942911.0	-321280.0	-1136007.0	7531360.0	682847.0	5000001.0	27842.0	6769631.0	738535.0	1753140.0	1753140.0	3031117.0	3722024.0	472069.0	-692889.0	-78568.0	0.0	0.0	67.0	E	C1
8700746.0	7055194.0	951994.0	453890.0	412167.0	412167.0	245286.0	699176.0	593295.0	13689404.0	2851205.0	7414543.0	121140.0	11141239.0	2545111.0	3353379.0	2887999.0	4490500.0	6277422.0	224078.0	1039791.0	802418.0	0.0	2.0	67.0	E	C1
188285312.0	140213648.0	34227756.0	5685862.0	4132980.0	0.0	10040070.0	15725932.0	8130861.0	134451600.0	44362420.0	49093972.0	851196.0	57414872.0	76438512.0	34890452.0	34831576.0	40585132.0	43399292.0	27759672.0	13816723.0	8935913.0	0.0	2.0	67.0	A	C6
114678120.0	49109856.0	54207000.0	22612524.0	14913106.0	0.0	-17815568.0	4796956.0	-37178520.0	184874656.0	74403376.0	53493076.0	66347.0	157801488.0	27068414.0	23670882.0	23661674.0	16802958.0	60361000.0	9586018.0	-37178520.0	-25334598.0	0.0	2.0	66.0	E	C1
4544509.0	2711287.0	1407212.0	210090.0	1127.0	1127.0	198267.0	408357.0	175016.0	3272564.0	2208272.0	194409.0	72970.0	1482659.0	1787726.0	832992.0	832992.0	160599.0	866802.0	57140.0	361174.0	371646.0	1.0	0.0	69.0	A	C7
15947018.0	12271505.0	3258143.0	1668118.0	138370.0	138370.0	229145.0	1897263.0	399892.0	9837725.0	2699780.0	2466556.0	128591.0	2929494.0	6907448.0	2714836.0	2714836.0	1693667.0	3487725.0	2265049.0	1955629.0	661114.0	0.0	1.0	67.0	A	C6
4816256.0	3937264.0	614006.0	167276.0	12380.0	12380.0	88716.0	255992.0	149846.0	2715914.0	1071831.0	371893.0	129176.0	1787696.0	924652.0	1270495.0	470495.0	970397.0	671991.0	70393.0	293185.0	362376.0	0.0	0.0	72.0	A	C5
10215790.0	7232328.0	2003080.0	342864.0	1454.0	1454.0	605551.0	948415.0	516920.0	7004897.0	5018996.0	44350.0	742933.0	2031116.0	4754626.0	1652744.0	1652744.0	30040.0	1667054.0	522124.0	792014.0	2052919.0	0.0	2.0	67.0	A	C7
21610566.0	16468802.0	3577268.0	535312.0	143611.0	143611.0	1429174.0	1964486.0	1081236.0	15678745.0	7917942.0	3788009.0	434802.0	6094867.0	9554890.0	3967340.0	3967340.0	3403328.0	4352021.0	6999547.0	1399755.0	763337.0	0.0	1.0	71.0	A	C7
102895680.0	99004264.0	1972098.0	2226575.0	10403.0	10403.0	269036.0	2495611.0	1356288.0	35152492.0	15987277.0	0.0	3581630.0	2624964.0	32480212.0	18769290.0	18769290.0	0.0	18769290.0	1698.0	1568732.0	1368734.0	0.0	2.0	68.0	A	C4
